Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatocellular carcinoma	28/168	2.065525e-23	3.924497e-21	0	0	1.742844e+01	9.103586e+02	SMARCD1;CDKN1A;SMARCD2;SMARCB1;SMARCD3;TCF7;LEF1;PTEN;PIK3R1;CCND1;TERT;MYC;E2F1;SMARCC1;PBRM1;SMARCC2;ACTL6B;CDKN2A;ACTL6A;IGF2;ARID1A;SMARCA2;ARID1B;SMARCA4;CDK6;PIK3CA;KRAS;TP53
KEGG_2019_Human	Pathways in cancer	40/530	6.900035e-20	6.555034e-18	0	0	7.380282e+00	3.256193e+02	ITGB1;CSF1R;CDKN1A;HDAC2;SPI1;CDKN1B;NOTCH1;FLT3;HDAC1;LEF1;TCF7;CUL1;PTEN;PIK3R1;RELA;CCND3;BCL2L11;TERT;HEY1;CCND1;MYC;E2F1;EP300;JAK2;JAK3;JAK1;STAT5B;CREBBP;CDKN2A;IGF2;ARNT;NFKB1;RUNX1;NFKB2;CDK6;PIK3CA;KIT;KRAS;IL7R;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	26/219	5.408235e-18	3.425215e-16	0	0	1.160448e+01	4.613781e+02	CDKN1A;SPI1;PTEN;PIK3R1;RELA;CCND3;TERT;CCND1;MYC;CHEK1;E2F1;EP300;JAK3;JAK1;STAT5B;CREBBP;CDKN2A;NFKB1;NFKB2;KAT2B;PIK3CA;LCK;KRAS;TCF3;TP53;MAD2L1
KEGG_2019_Human	Viral carcinogenesis	25/201	7.818978e-18	3.714014e-16	0	0	1.219286e+01	4.802764e+02	CDKN1A;HDAC2;CDKN1B;HDAC10;HDAC1;PIK3R1;RELA;HDAC6;CCND3;CCND1;CHEK1;EP300;JAK3;JAK1;STAT5B;CREBBP;USP7;CDKN2A;NFKB1;NFKB2;KAT2B;CDK6;PIK3CA;KRAS;TP53
KEGG_2019_Human	Chronic myeloid leukemia	17/76	6.227712e-17	2.366530e-15	0	0	2.403735e+01	8.969521e+02	STAT5B;CDKN1A;HDAC2;CDKN1B;HDAC1;CDKN2A;PIK3R1;RELA;NFKB1;RUNX1;CDK6;CCND1;PIK3CA;MYC;E2F1;KRAS;TP53
KEGG_2019_Human	Cell cycle	20/124	9.654527e-17	3.057267e-15	0	0	1.621245e+01	5.978586e+02	CREBBP;CDKN1A;HDAC2;CDKN1B;HDAC1;CDKN2A;CUL1;SMC3;SMC1A;CCND3;STAG2;CDK6;CCND1;MYC;RAD21;CHEK1;E2F1;EP300;TP53;MAD2L1
KEGG_2019_Human	Acute myeloid leukemia	16/66	1.299697e-16	3.527749e-15	0	0	2.659511e+01	9.728285e+02	CSF1R;STAT5B;SPI1;ITGAM;FLT3;LEF1;TCF7;PIK3R1;RELA;NFKB1;RUNX1;CCND1;PIK3CA;MYC;KIT;KRAS
KEGG_2019_Human	Epstein-Barr virus infection	23/201	1.092731e-15	2.595235e-14	0	0	1.099382e+01	3.787382e+02	CDKN1A;USP7;HDAC2;CDKN1B;HDAC1;PIK3R1;RUNX3;RELA;NFKB1;NFKB2;CCND3;BCL2L11;CDK6;PSMD4;CCND1;PIK3CA;MYC;CD19;E2F1;TP53;JAK3;CD44;JAK1
KEGG_2019_Human	Transcriptional misregulation in cancer	22/186	2.321619e-15	4.901196e-14	0	0	1.137224e+01	3.832049e+02	CSF1R;MEF2C;CDKN1A;HDAC2;SPI1;CDKN1B;ITGAM;KMT2A;FLT3;HDAC1;LMO2;BMI1;NFKB1;PBX1;RELA;RUNX1;HOXA9;TLX3;WT1;MYC;TCF3;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	27/354	8.259733e-14	1.569349e-12	0	0	7.095072e+00	2.137376e+02	ITGB1;CSF1R;CDKN1A;CDKN1B;FLT3;PTEN;PIK3R1;FOXO3;RELA;CCND3;BCL2L11;CCND1;MYC;CD19;MYB;JAK2;JAK3;JAK1;ITGA4;IGF2;NFKB1;CDK6;PIK3CA;KIT;KRAS;IL7R;TP53
KEGG_2019_Human	Prostate cancer	15/97	1.378669e-12	2.381338e-11	0	0	1.511452e+01	4.127761e+02	CREBBP;CDKN1A;CDKN1B;TCF7;LEF1;PTEN;PIK3R1;NFKB1;RELA;CCND1;PIK3CA;E2F1;EP300;KRAS;TP53
KEGG_2019_Human	Cellular senescence	18/160	2.073584e-12	3.283174e-11	0	0	1.057507e+01	2.844877e+02	CDKN1A;CDKN2A;PTEN;PIK3R1;FOXO3;FOXM1;NFKB1;RELA;CCND3;CDK6;CCND1;PIK3CA;RBBP4;MYC;CHEK1;E2F1;KRAS;TP53
KEGG_2019_Human	Human papillomavirus infection	24/330	5.877977e-12	8.590890e-11	0	0	6.658447e+00	1.721862e+02	ITGB1;CREBBP;CDKN1A;HDAC2;CDKN1B;NOTCH1;ITGA4;HDAC1;TCF7;PTEN;PIK3R1;RELA;NFKB1;CCND3;CDK6;TERT;HEY1;CCND1;PIK3CA;E2F1;EP300;KRAS;TP53;JAK1
KEGG_2019_Human	Non-small cell lung cancer	12/66	3.477327e-11	4.708566e-10	0	0	1.815860e+01	4.372985e+02	STAT5B;CDKN1A;CDK6;CCND1;PIK3CA;CDKN2A;E2F1;KRAS;PIK3R1;FOXO3;JAK3;TP53
KEGG_2019_Human	MicroRNAs in cancer	22/299	3.717289e-11	4.708566e-10	0	0	6.694172e+00	1.607635e+02	CREBBP;CDKN1A;CDKN1B;NOTCH1;CDKN2A;HDAC1;DNMT3A;PTEN;BMI1;NFKB1;BCL2L11;CDK6;CCND1;PIK3CA;MYC;E2F1;IGF2BP1;EP300;KRAS;TP53;CD44;EZH2
KEGG_2019_Human	Breast cancer	16/147	5.964005e-11	7.082256e-10	0	0	1.010906e+01	2.379945e+02	CDKN1A;NOTCH1;TCF7;LEF1;PTEN;PIK3R1;NFKB2;CDK6;CCND1;HEY1;PIK3CA;MYC;KIT;E2F1;KRAS;TP53
KEGG_2019_Human	Endometrial cancer	11/58	1.439041e-10	1.608340e-09	0	0	1.905222e+01	4.317591e+02	CDKN1A;CCND1;PIK3CA;MYC;LEF1;TCF7;PTEN;KRAS;PIK3R1;FOXO3;TP53
KEGG_2019_Human	Small cell lung cancer	13/93	1.650013e-10	1.668758e-09	0	0	1.331620e+01	2.999483e+02	ITGB1;CDKN1A;CDKN1B;PTEN;PIK3R1;RELA;NFKB1;CDK6;CCND1;PIK3CA;MYC;E2F1;TP53
KEGG_2019_Human	Pancreatic cancer	12/75	1.668758e-10	1.668758e-09	0	0	1.555740e+01	3.502557e+02	CDKN1A;CDK6;CCND1;PIK3CA;CDKN2A;E2F1;KRAS;PIK3R1;TP53;RELA;NFKB1;JAK1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	15/139	2.714761e-10	2.579023e-09	0	0	9.973739e+00	2.196930e+02	PCGF2;PIK3R1;BMI1;PIK3CA;MYC;KAT6A;ID1;ID3;PCGF1;KRAS;TCF3;JARID2;JAK2;JAK3;JAK1
KEGG_2019_Human	FoxO signaling pathway	14/132	1.363277e-09	1.233441e-08	0	0	9.744203e+00	1.989121e+02	USP7;CREBBP;CDKN1A;CDKN1B;PTEN;PIK3R1;FOXO3;BCL2L11;CCND1;PIK3CA;TNFSF10;EP300;KRAS;IL7R
KEGG_2019_Human	Hepatitis B	15/163	2.546856e-09	2.199558e-08	0	0	8.346156e+00	1.651571e+02	STAT5B;CREBBP;CDKN1A;PIK3R1;NFKB1;RELA;PIK3CA;MYC;E2F1;EP300;KRAS;JAK2;TP53;JAK3;JAK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	15/186	1.550391e-08	1.280758e-07	0	0	7.215097e+00	1.297431e+02	CREBBP;CDKN1A;PIK3R1;NFKB1;RELA;CDK6;CCND1;PIK3CA;MYC;E2F1;EP300;KRAS;JAK2;TP53;JAK1
KEGG_2019_Human	Measles	13/138	2.266851e-08	1.794590e-07	0	0	8.502867e+00	1.496699e+02	STAT5B;CDKN1B;ADAR;PIK3R1;NFKB1;RELA;CCND3;CDK6;CCND1;PIK3CA;TP53;JAK3;JAK1
KEGG_2019_Human	Melanoma	10/72	2.366840e-08	1.798798e-07	0	0	1.306584e+01	2.294248e+02	CDKN1A;CDK6;CCND1;PIK3CA;CDKN2A;PTEN;E2F1;KRAS;PIK3R1;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	2.779676e-08	2.031301e-07	0	0	9.404564e+00	1.636239e+02	KAT2B;CREBBP;HDAC2;NOTCH1;CCND1;PIK3CA;HDAC1;MYC;EP300;KRAS;PIK3R1;TP53
KEGG_2019_Human	Glioma	10/75	3.539352e-08	2.490655e-07	0	0	1.246091e+01	2.137885e+02	CDKN1A;CDK6;CCND1;PIK3CA;CDKN2A;PTEN;E2F1;KRAS;PIK3R1;TP53
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	1.240587e-07	8.418271e-07	0	0	1.296977e+01	2.062520e+02	PIK3CA;FLT3;MYC;IDH1;KIT;PTEN;KRAS;PIK3R1;TP53
KEGG_2019_Human	Colorectal cancer	10/86	1.338564e-07	8.769902e-07	0	0	1.065140e+01	1.685743e+02	CDKN1A;BCL2L11;CCND1;PIK3CA;MYC;LEF1;TCF7;KRAS;PIK3R1;TP53
